symbol;available_exchanges;currency_base;currency_quote
ARDR/BTC;"[""Binance"",""Bittrex"",""HitBTC""]";Ardor;Bitcoin
ARDR/ETH;"[""TOKOK""]";Ardor;Ethereum
ARDR/KRW;"[""Upbit""]";Ardor;Korean Won
ARDR/USD;"[""Synthetic""]";Ardor;US Dollar
ARG/BTC;"[""NLexch""]";Argentum;Bitcoin
ARGUS/BTC;"[""YoBit""]";Argus;Bitcoin
ARG/USD;"[""Synthetic""]";Argentum;US Dollar
ARGUS/USD;"[""Synthetic""]";Argus;US Dollar
ARI/USD;"[""Synthetic""]";Aricoin;US Dollar
ARK/AUD;"[""Synthetic""]";Ark;Australian Dollar
ARK/BTC;"[""Binance"",""Bittrex"",""OKEx"",""Upbit""]";Ark;Bitcoin
ARK/KRW;"[""Upbit""]";Ark;Korean Won
ARK/USD;"[""OKEx"",""Synthetic""]";Ark;US Dollar
ARN/ETH;"[""Gate.io""]";Aeron;Ethereum
ARN/USD;"[""Synthetic""]";Aeron;US Dollar
ARNX/BTC;"[""HitBTC""]";Aeron;Bitcoin
ARPA/BTC;"[""Binance""]";ARPA Chain;Bitcoin
ARPA/USD;"[""Binance""]";ARPA Chain;US Dollar
ART/BTC;"[""Bittrex"",""HitBTC""]";Maecenas;Bitcoin
ART/USD;"[""Synthetic""]";Maecenas;US Dollar
ASN/USD;"[""Synthetic""]";Aseancoin;US Dollar
AST/BTC;"[""Binance"",""Huobi""]";AirSwap;Bitcoin
ASTRO/USD;"[""Synthetic""]";Astro;US Dollar
AST/USD;"[""OKEx""]";AirSwap;US Dollar
ATB/BTC;"[""TOPBTC""]";ATBCoin;Bitcoin
ATB/USD;"[""YoBit""]";ATBCoin;US Dollar
ATCC/BTC;"[""p2pb2b""]";ATC Coin;Bitcoin
ATCC/USD;"[""Synthetic""]";ATC Coin;US Dollar
ATL/BTC;"[""YoBit""]";ATLANT;Bitcoin
ATL/ETH;"[""Mercatox""]";ATLANT;Ethereum
ATL/USD;"[""Synthetic""]";ATLANT;US Dollar
ATMS/USD;"[""Synthetic""]";Atmos;US Dollar
ATM/USD;"[""YoBit""]";ATMChain;US Dollar
ATOM/BNB;"[""Binance""]";Cosmos;Binance Coin
ATOM/BTC;"[""Binance"",""Hotbit"",""Huobi"",""OKEx""]";Cosmos;Bitcoin
ATOMc/USD;"[""Synthetic""]";Atomic Coin;US Dollar
ATOM/ETH;"[""Huobi"",""OKEx""]";Cosmos;Ethereum
ATOM/TRY;"[""BTCTurk"",""Paribu""]";Cosmos;Turkish Lira
ATOM/USD;"[""Binance"",""BitForex"",""Huobi"",""OKEx""]";Cosmos;US Dollar
ATS/BNT;"[""Bancor Network""]";Authorship;Bancor
ATS/USD;"[""Synthetic""]";Authorship;US Dollar
ATX/BTC;"[""Livecoin""]";Artex Coin;Bitcoin
ATXN/BTC;"[""Coinbene""]";Aston;Bitcoin
ATXN/USD;"[""Synthetic""]";Aston;US Dollar
ATX/USD;"[""Synthetic""]";Artex Coin;US Dollar
AURA/USD;"[""Synthetic""]";Aurora-DAO;US Dollar
AUR/BTC;"[""YoBit""]";Auroracoin;Bitcoin
AUR/USD;"[""Synthetic""]";Auroracoin;US Dollar
AUTO/BTC;"[""HitBTC""]";Cube;Bitcoin
AUTO/USD;"[""Synthetic""]";Cube;US Dollar
AU/USD;"[""Synthetic""]";AurumCoin;US Dollar
AVAX/BTC;"[""Binance"",""Huobi""]";Avalanche;Bitcoin
AVAX/TRY;"[""Paribu""]";Avalanche;Turkish Lira
AVAX/USD;"[""Binance"",""Huobi"",""Paribu""]";Avalanche;US Dollar
AV/BTC;"[""YoBit""]";AvatarCoin;Bitcoin
AVT/BTC;"[""Mercatox""]";Aventus;Bitcoin
AVT/ETH;"[""HitBTC"",""Mercatox""]";Aventus;Ethereum
AVT/USD;"[""Bitfinex"",""Synthetic""]";Aventus;US Dollar
AV/USD;"[""Synthetic""]";AvatarCoin;US Dollar
AWR/USD;"[""Synthetic""]";AWARE;US Dollar
AXIOM/BTC;"[""YoBit""]";Axiom;Bitcoin
AXIOM/USD;"[""Synthetic""]";Axiom;US Dollar
AXPR/BTC;"[""Kucoin""]";aXpire;Bitcoin
AXPR/ETH;"[""Kucoin""]";aXpire;Ethereum
AXPR/USD;"[""Synthetic""]";aXpire;US Dollar
B2B/BTC;"[""YoBit""]";B2BX;Bitcoin
B2B/USD;"[""Synthetic""]";B2BX;US Dollar
B2X/BTC;"[""YoBit""]";SegWit2x;Bitcoin
B2X/USD;"[""YoBit""]";SegWit2x;US Dollar
BAC/USD;"[""Synthetic""]";BitAlphaCoin;US Dollar
BAKE/USD;"[""Binance""]";BakeryToken;US Dollar
BAN/BTC;"[""Mercatox""]";Banano Coin;Bitcoin
BANCA/ETH;"[""HitBTC"",""Hotbit""]";Banca;Ethereum
BANCA/USD;"[""Synthetic""]";Banca;US Dollar
BAND/BNB;"[""Binance""]";Band Protocol;Binance Coin
BAND/BTC;"[""Binance""]";Band Protocol;Bitcoin
BAND/USD;"[""Bilaxy"",""Binance""]";Band Protocol;US Dollar
BAN/USD;"[""Synthetic""]";Banano Coin;US Dollar
BASH/USD;"[""Synthetic""]";LuckChain;US Dollar
BAT/BNB;"[""Binance""]";Basic Attention...;Binance Coin
BAT/BTC;"[""Binance"",""Bittrex"",""Coinbene"",""IDCM""]";Basic Attention...;Bitcoin
BAT/ETH;"[""Binance"",""Bittrex""]";Basic Attention...;Ethereum
BAT/ETH;"[""Bibox"",""Coinbase Pro""]";Basic Attention Token;Ethereum
BAT/EUR;"[""Kraken""]";Basic Attention Token;Euro
BAT/JPY;"[""Bitbank""]";Basic Attention Token;Japanese Yen
BAT/MXN;"[""Bitso""]";Basic Attention Token;Mexican Peso
BAT/TRY;"[""Paribu""]";Basic Attention...;Turkish Lira
BAT/TRY;"[""Vebitcoin""]";Basic Attention Token;Turkish Lira
BAT/USD;"[""Binance"",""Ethfinex""]";Basic Attention...;US Dollar
BAT/USD;"[""Bibox"",""Exrates""]";Basic Attention Token;US Dollar
BAT/USDC;"[""Coinbase Pro""]";Basic Attention Token;USD Coin
BAX/ETH;"[""CoinTiger"",""IDEX""]";BABB;Ethereum
BAX/USD;"[""CoinTiger"",""Synthetic""]";BABB;US Dollar
BAY/USD;"[""Synthetic""]";BitBay;US Dollar
BBC/BTC;"[""CoinAll""]";TraDove B2BCoin;Bitcoin
BBC/USD;"[""Synthetic""]";TraDove B2BCoin;US Dollar
BBK/BTC;"[""BitMart""]";Brickblock;Bitcoin
BBK/ETH;"[""BitMart"",""IDEX""]";Brickblock;Ethereum
BBK/USD;"[""Synthetic""]";Brickblock;US Dollar
BBR/BTC;"[""BTC-Alpha""]";Boolberry;Bitcoin
BBR/USD;"[""Synthetic""]";Boolberry;US Dollar
BBT/BTC;"[""Mercatox"",""YoBit""]";BitBoost;Bitcoin
BBT/USD;"[""Synthetic""]";BitBoost;US Dollar
BCA/BTC;"[""STEX"",""YoBit""]";Bitcoin Atom;Bitcoin
BCAP/USD;"[""Synthetic""]";BCAP;US Dollar
BCA/USD;"[""YoBit""]";Bitcoin Atom;US Dollar
BCD/BTC;"[""Binance"",""Exrates"",""Huobi"",""OKEx""]";Bitcoin Diamond;Bitcoin
BCD/ETH;"[""Kucoin""]";Bitcoin Diamond;Ethereum
BCD/IDR;"[""Indodax""]";Bitcoin Diamond;Indonesian Rupiah
BCD/KRW;"[""Bithumb""]";Bitcoin Diamond;Korean Won
BCDN/USD;"[""Gate.io""]";BlockCDN;US Dollar
BCD/USD;"[""Gate.io"",""OKEx""]";Bitcoin Diamond;US Dollar
BCHABC/AUD;"[""BTC Markets""]";Bitcoin Cash;Australian Dollar
BCHABC/BTC;"[""Binance"",""OKEx""]";Bitcoin Cash;Bitcoin
BCHABC/IDR;"[""Indodax""]";Bitcoin Cash;Indonesian Rupiah
BCHABC/INR;"[""Bitbns""]";Bitcoin Cash;Indian Rupee
BCHABC/USD;"[""Binance"",""Coinbene"",""OKEx""]";Bitcoin Cash;US Dollar
BCHABC/ZAR;"[""AltCoinTrader""]";Bitcoin Cash;South African Rand
BCH/AUD;"[""Synthetic""]";Bitcoin Cash;Australian Dollar
BCH/BRL;"[""MercadoBitcoin""]";Bitcoin Cash;Brazil Real
BCH/BTC;"[""Bibox"",""Bittrex""]";Bitcoin Cash;Bitcoin
BCH/CAD;"[""Synthetic""]";Bitcoin Cash;Canadian Dollar
BCH/CHF;"[""Bitci.com""]";Bitcoin Cash;Swiss Franc
BCH/CNY;"[""Synthetic""]";Bitcoin Cash;Chinese Yuan
BCH/ETH;"[""Bibox"",""Bittrex"",""Exmo""]";Bitcoin Cash;Ethereum
BCH/EUR;"[""BitStamp"",""Coinbase Pro"",""Kraken""]";Bitcoin Cash;Euro
